gamma1,N,Ntrain,regime2_obs,regime2_fore
1.48,50,25,0.78972,0.9751
1.48,100,25,0.79444,0.9763499999999998
1.48,50,50,0.8866200000000001,0.9962
1.48,100,50,0.8889900000000001,0.99225
2.5,50,25,0.5522800000000001,0.841
2.5,100,25,0.54176,0.8406999999999998
2.5,50,50,0.71904,0.9530999999999998
2.5,100,50,0.71082,0.9426499999999998
3.0,50,25,0.4098400000000001,0.6988999999999999
3.0,100,25,0.4162399999999999,0.70745
3.0,50,50,0.5842600000000001,0.8664
3.0,100,50,0.5895300000000001,0.8632
3.3,50,25,0.3385600000000001,0.5998
3.3,100,25,0.33882,0.61635
3.3,50,50,0.50338,0.8017000000000001
3.3,100,50,0.5089699999999999,0.78935
3.6,50,25,0.27504000000000006,0.49189999999999995
3.6,100,25,0.26661999999999997,0.51405
3.6,50,50,0.41546000000000005,0.6994000000000001
3.6,100,50,0.42169,0.6917000000000001
4.0,50,25,0.18480000000000002,0.3565
4.0,100,25,0.18834,0.38025
4.0,50,50,0.30023999999999995,0.5582999999999999
4.0,100,50,0.31506,0.5635999999999999
4.5,50,25,0.11211999999999997,0.2286
4.5,100,25,0.12115999999999998,0.26085
4.5,50,50,0.19396000000000002,0.3998
4.5,100,50,0.21594000000000002,0.42289999999999994
