Parameter,Estimate,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label,SD
gamma1,1.48,0.55,,,,,Kelava,gamma1,gamma1,0.55
gamma2,-1.17,0.79,,,,,Kelava,gamma2,gamma2,0.79
gamma3_1,-0.1,0.34,,,,,Kelava,gamma3_1,gamma3_1,0.34
gamma3_2,0.26,0.33,,,,,Kelava,gamma3_2,gamma3_2,0.33
gamma3_3,-0.83,0.48,,,,,Kelava,gamma3_3,gamma3_3,0.48
gamma3_4,0.48,0.55,,,,,Kelava,gamma3_4,gamma3_4,0.55
gamma3_5,-0.56,0.42,,,,,Kelava,gamma3_5,gamma3_5,0.42
gamma3_6,0.11,0.25,,,,,Kelava,gamma3_6,gamma3_6,0.25
gamma3_7,-0.71,0.21,,,,,Kelava,gamma3_7,gamma3_7,0.21
gamma4_2,-0.74,0.68,,,,,Kelava,gamma4_2,gamma4_2,0.68
gamma4_3,-0.19,0.76,,,,,Kelava,gamma4_3,gamma4_3,0.76
gamma4_5,-0.86,0.74,,,,,Kelava,gamma4_5,gamma4_5,0.74
P12,1e-12,0.05,,,,,Fixed,P12,P12,0.05
B11_1,0.09,0.03,,,,,Kelava,B11_1,B11_1,0.03
B11_2,-0.05,0.04,,,,,Kelava,B11_2,B11_2,0.04
B11_3,-0.06,0.04,,,,,Kelava,B11_3,B11_3,0.04
B11_4,0.07,0.05,,,,,Kelava,B11_4,B11_4,0.05
B11_5,0.13,0.04,,,,,Kelava,B11_5,B11_5,0.04
B11_6,0.13,0.04,,,,,Kelava,B11_6,B11_6,0.04
B11_7,-0.18,0.06,,,,,Kelava,B11_7,B11_7,0.06
B21_1,-0.18,0.09,,,,,Kelava,B21_1,B21_1,0.09
B21_2,-0.87,0.15,,,,,Kelava,B21_2,B21_2,0.15
B21_3,-0.77,0.12,,,,,Kelava,B21_3,B21_3,0.12
B21_4,-0.75,0.14,,,,,Kelava,B21_4,B21_4,0.14
B21_5,-0.81,0.13,,,,,Kelava,B21_5,B21_5,0.13
B21_6,-0.22,0.12,,,,,Kelava,B21_6,B21_6,0.12
B21_7,-1.12,0.17,,,,,Kelava,B21_7,B21_7,0.17
B31d_1,0.49,0.04,,,,,Kelava,B31d_1,B31d_1,0.04
B31d_2,0.33,0.04,,,,,Kelava,B31d_2,B31d_2,0.04
B31d_3,0.15,0.04,,,,,Kelava,B31d_3,B31d_3,0.04
