Parameter,Mean,SD
gamma1,1.48,0.55
gamma2,-1.17,0.79
gamma3_1,0.0,0.1
gamma4_1,0.0,0.1
gamma3_2,0.0,0.1
gamma4_2,0.0,0.1
B11_1,-0.05,0.04
B11_2,-0.06,0.04
log_B12_delta_1,-0.693147,0.196977
log_B12_delta_2,-1.272966,0.319438
B21_1,-0.87,0.15
B22_1,-0.92,0.19
B21_2,-0.77,0.12
B22_2,-0.45,0.16
B31d_1,0.33,0.04
B31d_2,0.15,0.04
B32d_1,0.31,0.06
B32d_2,0.69,0.06
B41d_1,0.11,0.1
B41d_2,-0.3,0.08
B42d_1,0.57,0.13
B42d_2,0.01,0.11
log_Q1d_1,-2.525729,0.125
log_Q1d_2,-2.995732,0.2
log_R1d_1,-1.469676,0.086957
log_R1d_2,-1.560648,0.095238
log_R1d_3,-1.832581,0.0625
log_R1d_4,-0.494296,0.04918
log_R2d_1,-0.198451,0.121951
log_R2d_2,-0.314711,0.123288
