Parameter,Estimate,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label,SD
gamma1,4.5951,,,,,,EmpMLE,gamma1,gamma1,0.55
gamma2,-1.2535550594329834,0.4452754855155945,,,,,EmpMLE,gamma2,gamma2,0.79
gamma3_1,0.0,,,,,,Fixed,gamma3_1,gamma3_1,0.34
gamma3_2,0.0,,,,,,Fixed,gamma3_2,gamma3_2,0.33
gamma3_3,0.0,,,,,,Fixed,gamma3_3,gamma3_3,0.48
gamma3_4,0.0,,,,,,Fixed,gamma3_4,gamma3_4,0.55
gamma3_5,0.0,,,,,,Fixed,gamma3_5,gamma3_5,0.42
gamma3_6,0.0,,,,,,Fixed,gamma3_6,gamma3_6,0.25
gamma3_7,0.0,,,,,,Fixed,gamma3_7,gamma3_7,0.21
gamma4_2,0.0,,,,,,Fixed,gamma4_2,gamma4_2,0.68
gamma4_3,0.0,,,,,,Fixed,gamma4_3,gamma4_3,0.76
gamma4_5,0.0,,,,,,Fixed,gamma4_5,gamma4_5,0.74
P12,1e-12,,,,,,EmpMLE,P12,P12,0.05
B11_1,0.12200765311717987,0.02077886275947094,,,,,EmpMLE,B11_1,B11_1,0.03
B11_2,-0.011621382087469101,0.020351465791463852,,,,,EmpMLE,B11_2,B11_2,0.04
B11_3,0.019634678959846497,0.018437277525663376,,,,,EmpMLE,B11_3,B11_3,0.04
B11_4,0.0820314958691597,0.030017975717782974,,,,,EmpMLE,B11_4,B11_4,0.05
B11_5,0.12263336777687073,0.04220334067940712,,,,,EmpMLE,B11_5,B11_5,0.04
B11_6,0.10673036426305771,0.029755892232060432,,,,,EmpMLE,B11_6,B11_6,0.04
B11_7,-0.08537455648183823,0.03160638362169266,,,,,EmpMLE,B11_7,B11_7,0.06
B21_1,-0.024537943303585052,0.02815338224172592,,,,,EmpMLE,B21_1,B21_1,0.09
B21_2,-0.08300204575061798,0.03590177744626999,,,,,EmpMLE,B21_2,B21_2,0.15
B21_3,-0.08487985283136368,0.024044182151556015,,,,,EmpMLE,B21_3,B21_3,0.12
B21_4,-0.11106883734464645,0.04905460402369499,,,,,EmpMLE,B21_4,B21_4,0.14
B21_5,-0.10673084110021591,0.03637782484292984,,,,,EmpMLE,B21_5,B21_5,0.13
B21_6,-0.007566455285996199,0.03284351900219917,,,,,EmpMLE,B21_6,B21_6,0.12
B21_7,-0.10310429334640503,0.04121251031756401,,,,,EmpMLE,B21_7,B21_7,0.17
B31d_1,0.8214213252067566,0.03889773041009903,,,,,EmpMLE,B31d_1,B31d_1,0.04
B31d_2,0.838375449180603,0.04662782698869705,,,,,EmpMLE,B31d_2,B31d_2,0.04
B31d_3,0.8329758048057556,0.03745175525546074,,,,,EmpMLE,B31d_3,B31d_3,0.04
B31d_4,0.7017317414283752,0.08286388963460922,,,,,EmpMLE,B31d_4,B31d_4,0.05
B31d_5,0.7209455370903015,0.06883233785629272,,,,,EmpMLE,B31d_5,B31d_5,0.04
B31d_6,0.8263635039329529,0.03943488001823425,,,,,EmpMLE,B31d_6,B31d_6,0.05
B31d_7,0.7619884014129639,0.044630587100982666,,,,,EmpMLE,B31d_7,B31d_7,0.04
B41d_1,0.006153673864901066,0.05530836060643196,,,,,EmpMLE,B41d_1,B41d_1,0.11
B41d_2,-0.017967520281672478,0.061444319784641266,,,,,EmpMLE,B41d_2,B41d_2,0.1
B41d_3,-0.06522249430418015,0.03714829683303833,,,,,EmpMLE,B41d_3,B41d_3,0.08
B41d_4,-0.044718820601701736,0.058974746614694595,,,,,EmpMLE,B41d_4,B41d_4,0.1
B41d_5,-0.06357664614915848,0.0711083635687828,,,,,EmpMLE,B41d_5,B41d_5,0.08
B41d_6,0.0776158943772316,0.055065903812646866,,,,,EmpMLE,B41d_6,B41d_6,0.13
B41d_7,-0.061700254678726196,0.04237882420420647,,,,,EmpMLE,B41d_7,B41d_7,0.08
Q1d_1,0.014087150912491917,0.4164818823337555,,,,,EmpMLE,Q1d_1,Q1d_1,0.01
Q1d_2,0.032353158586827475,0.32681137323379517,,,,,EmpMLE,Q1d_2,Q1d_2,0.01
Q1d_3,0.010902994902301217,0.5333815217018127,,,,,EmpMLE,Q1d_3,Q1d_3,0.01
Q1d_4,0.011445904586308205,0.8404064178466797,,,,,EmpMLE,Q1d_4,Q1d_4,0.01
Q1d_5,0.03490625680988166,0.4192984402179718,,,,,EmpMLE,Q1d_5,Q1d_5,0.01
Q1d_6,0.06908646648569264,0.3050538897514343,,,,,EmpMLE,Q1d_6,Q1d_6,0.03
Q1d_7,0.09762796955766642,0.16422022879123688,,,,,EmpMLE,Q1d_7,Q1d_7,0.03
Q2d_1,0.015124721452593803,,,,,,EmpMLE,Q2d_1,Q2d_1,0.02
Q2d_2,0.018546637147665024,,,,,,EmpMLE,Q2d_2,Q2d_2,0.03
Q2d_3,0.014970105141401291,,,,,,EmpMLE,Q2d_3,Q2d_3,0.02
Q2d_4,0.018968475982546806,,,,,,EmpMLE,Q2d_4,Q2d_4,0.02
Q2d_5,0.027282290160655975,,,,,,EmpMLE,Q2d_5,Q2d_5,0.02
Q2d_6,0.02986445277929306,,,,,,EmpMLE,Q2d_6,Q2d_6,0.03
Q2d_7,0.032484836876392365,,,,,,EmpMLE,Q2d_7,Q2d_7,0.04
P2,0.2,,,,,,Kelava2022,P2,P2,0.07
Lmd1f1,1.4012239111553582,0.0803256630897522,,,,,EmpMLE,Lmd1f1,Lmd1f1,0.03
Lmd1f2,1.1440573234496823,0.069529227912426,,,,,EmpMLE,Lmd1f2,Lmd1f2,0.03
Lmd1f3,0.9328971732001837,0.08637049049139023,,,,,EmpMLE,Lmd1f3,Lmd1f3,0.03
Lmd1f4,0.9738634137187101,0.051579635590314865,,,,,EmpMLE,Lmd1f4,Lmd1f4,0.03
Lmd1f5,1.1922928604420577,0.06327230483293533,,,,,EmpMLE,Lmd1f5,Lmd1f5,0.02
Lmd1f6,1.1445902589367667,0.07006218284368515,,,,,EmpMLE,Lmd1f6,Lmd1f6,0.02
Lmd2_1,1.0,,,,,,Kelava2022,Lmd2_1,Lmd2_1,0.05
Lmd2_2,1.2,,,,,,Kelava2022,Lmd2_2,Lmd2_2,0.07
Lmd2_3,0.41,,,,,,Kelava2022,Lmd2_3,Lmd2_3,0.04
R1d_1,0.38498081774972054,0.0898810625076294,,,,,EmpMLE,R1d_1,R1d_1,0.02
R1d_2,0.2868171690423049,0.09731817245483398,,,,,EmpMLE,R1d_2,R1d_2,0.02
R1d_3,0.502201231651708,0.05135449767112732,,,,,EmpMLE,R1d_3,R1d_3,0.03
R1d_4,0.25905641089261355,0.10415983200073242,,,,,EmpMLE,R1d_4,R1d_4,0.02
R1d_5,0.2847301733411,0.08474759012460709,,,,,EmpMLE,R1d_5,R1d_5,0.02
R1d_6,0.28921836527108385,0.0722290500998497,,,,,EmpMLE,R1d_6,R1d_6,0.01
R1d_7,0.40270681238886363,0.057452235370874405,,,,,EmpMLE,R1d_7,R1d_7,0.03
R1d_8,0.32020268346324227,0.1054612249135971,,,,,EmpMLE,R1d_8,R1d_8,0.02
R1d_9,0.371369420720377,0.08539935201406479,,,,,EmpMLE,R1d_9,R1d_9,0.02
R1d_10,0.29730560542681067,0.12133472412824631,,,,,EmpMLE,R1d_10,R1d_10,0.02
R1d_11,0.2336800918195998,0.13812966644763947,,,,,EmpMLE,R1d_11,R1d_11,0.02
R1d_12,0.41021670495132107,0.12197312712669373,,,,,EmpMLE,R1d_12,R1d_12,0.02
R1d_13,0.5428085007993377,0.10101453214883804,,,,,EmpMLE,R1d_13,R1d_13,0.03
R1d_14,0.647210848699512,0.05313846468925476,,,,,EmpMLE,R1d_14,R1d_14,0.04
R1d_15,0.5707026379734724,0.1033635064959526,,,,,EmpMLE,R1d_15,R1d_15,0.03
R1d_16,0.3014736691661111,0.17354542016983032,,,,,EmpMLE,R1d_16,R1d_16,0.02
R1d_17,0.4840073732022545,0.09290136396884918,,,,,EmpMLE,R1d_17,R1d_17,0.03
R2d_1,2.165509881233413,134.87228393554688,,,,,EmpMLE,R2d_1,R2d_1,0.1
R2d_2,0.2640210532525734,134.87217712402344,,,,,EmpMLE,R2d_2,R2d_2,0.09
R2d_3,0.92,,,,,,Kelava2022,R2d_3,R2d_3,0.07
B12_1,0.14483840763568878,,,,,,EmpMLE,B12_1,B12_1,0.08
B22_1,-0.05310458689928055,0.07833392173051834,,,,,EmpMLE,B22_1,B22_1,0.14
B32d_1,0.8551927804946899,0.1369200199842453,,,,,EmpMLE,B32d_1,B32d_1,0.06
B42d_1,0.014938462525606155,0.1281612515449524,,,,,EmpMLE,B42d_1,B42d_1,0.12
B12_2,0.13478082418441772,,,,,,EmpMLE,B12_2,B12_2,0.09
B22_2,-0.03985569253563881,0.1678689867258072,,,,,EmpMLE,B22_2,B22_2,0.19
B32d_2,0.7941706776618958,0.29071691632270813,,,,,EmpMLE,B32d_2,B32d_2,0.06
B42d_2,0.019086511805653572,0.44794711470603943,,,,,EmpMLE,B42d_2,B42d_2,0.13
B12_3,0.15640604496002197,,,,,,EmpMLE,B12_3,B12_3,0.08
B22_3,-0.06770255416631699,0.04902562126517296,,,,,EmpMLE,B22_3,B22_3,0.16
B32d_3,0.9093148112297058,0.04781664162874222,,,,,EmpMLE,B32d_3,B32d_3,0.06
B42d_3,0.013560350984334946,0.057868167757987976,,,,,EmpMLE,B42d_3,B42d_3,0.11
B12_4,0.17719195783138275,,,,,,EmpMLE,B12_4,B12_4,0.1
B22_4,-0.09683862328529358,0.10599958896636963,,,,,EmpMLE,B22_4,B22_4,0.17
B32d_4,0.802008867263794,0.10906153172254562,,,,,EmpMLE,B32d_4,B32d_4,0.07
B42d_4,-0.016707444563508034,0.2071177065372467,,,,,EmpMLE,B42d_4,B42d_4,0.12
B12_5,0.3023569583892822,,,,,,EmpMLE,B12_5,B12_5,0.1
B22_5,-0.030534682795405388,0.28723853826522827,,,,,EmpMLE,B22_5,B22_5,0.17
B32d_5,0.7401152849197388,0.17147120833396912,,,,,EmpMLE,B32d_5,B32d_5,0.06
B42d_5,0.010154256597161293,0.34083840250968933,,,,,EmpMLE,B42d_5,B42d_5,0.11
B12_6,0.2096899151802063,,,,,,EmpMLE,B12_6,B12_6,0.08
B22_6,-0.10143084079027176,0.09855424612760544,,,,,EmpMLE,B22_6,B22_6,0.15
B32d_6,0.7939974069595337,0.08828684687614441,,,,,EmpMLE,B32d_6,B32d_6,0.07
B42d_6,0.07266886532306671,0.162957102060318,,,,,EmpMLE,B42d_6,B42d_6,0.14
B12_7,0.051514334976673126,,,,,,EmpMLE,B12_7,B12_7,0.07
B22_7,-0.019545162096619606,0.114928238093853,,,,,EmpMLE,B22_7,B22_7,0.18
B32d_7,0.8559176921844482,0.13610631227493286,,,,,EmpMLE,B32d_7,B32d_7,0.06
B42d_7,-0.025958910584449768,0.19363196194171906,,,,,EmpMLE,B42d_7,B42d_7,0.11
