Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,-4.21193,17.837411,1.801851,-7.743558,-0.680302,,,SimulationMean,gamma1,gamma1
B11_1,0.023367,0.115388,0.011656,0.000521,0.046213,,,SimulationMean,B11_1,B11_1
B11_2,0.017042,0.061303,0.006193,0.004904,0.02918,,,SimulationMean,B11_2,B11_2
B21_1,-0.05675,0.260583,0.026323,-0.108343,-0.005157,,,SimulationMean,B21_1,B21_1
B21_2,-0.063343,0.128712,0.013002,-0.088827,-0.037859,,,SimulationMean,B21_2,B21_2
B22_1,-0.244884,0.367718,0.037145,-0.317688,-0.17208,,,SimulationMean,B22_1,B22_1
B22_2,-0.081861,0.134192,0.013555,-0.108429,-0.055293,,,SimulationMean,B22_2,B22_2
B31d_1,0.772376,0.477056,0.04819,0.677924,0.866828,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.75934,0.747702,0.075529,0.611303,0.907377,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.769863,0.202209,0.020426,0.729828,0.809898,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.948935,0.06899,0.006969,0.935276,0.962594,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.058957,0.168893,0.017061,0.025517,0.092397,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.051524,0.356809,0.036043,-0.122168,0.01912,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.17017,0.16501,0.016669,0.137499,0.202841,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.015446,0.03055,0.003086,0.009397,0.021495,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.039469,0.020701,0.002091,0.035371,0.043567,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.032687,0.005506,0.000556,0.031597,0.033777,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.264352,0.016991,0.001716,0.260989,0.267715,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.24487,0.015768,0.001593,0.241748,0.247992,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.179576,0.007065,0.000714,0.178177,0.180975,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.62377,0.019217,0.001941,0.619966,0.627574,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.73055,2.872914,0.290208,1.161742,2.299358,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.831446,1.115174,0.11265,0.610652,1.05224,,,SimulationMean,R2d_2,R2d_2
gamma2,-6.278362,18.028853,1.821189,-9.847892,-2.708832,,,SimulationMean,gamma2,gamma2
gamma3_1,-15.035512,80.68839,8.150758,-31.010998,0.939974,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-7.2067,97.205097,9.819198,-26.452328,12.038928,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,-2.988645,197.913032,19.992235,-42.173426,36.196136,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,6.983748,43.269916,4.370922,-1.583259,15.550755,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.190412,0.181866,0.018371,0.154405,0.226419,,,SimulationMean,B12_1,B12_1
B12_2,0.083726,0.096275,0.009725,0.064665,0.102787,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.062052,0.269595,0.027233,0.008675,0.115429,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.029628,0.055571,0.005614,0.018625,0.040631,,,SimulationMean,Q2d_2,Q2d_2
P2,0.691929,0.201428,0.020347,0.652049,0.731809,,,SimulationMean,P2,P2
