Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score
two_stage,100,25,gamma1,1.48,-4.294003,14.423507,1.449617,-5.774003,-390.14,15.468525,0.7667,0.2778,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B11_1,-0.05,0.023883,0.077615,0.007801,0.073883,147.77,0.106874,0.0505,0.8384,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B11_2,-0.06,0.030163,0.036442,0.003663,0.090163,150.27,0.09718,0.0707,0.9192,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B21_1,-0.87,-0.069373,0.116595,0.011718,0.800627,92.03,0.808988,0.0404,0.8788,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B21_2,-0.77,-0.056074,0.115305,0.011589,0.713926,92.72,0.723085,0.0404,0.7778,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B22_1,-0.92,-0.21862,0.387368,0.038932,0.70138,76.24,0.800295,0.0707,0.8889,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B22_2,-0.45,-0.0596,0.09448,0.009496,0.3904,86.76,0.401558,0.0808,0.596,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B31d_1,0.33,0.787392,0.466237,0.046859,0.457392,138.6,0.651452,0.0404,0.9697,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B31d_2,0.15,0.838047,0.490645,0.049312,0.688047,458.7,0.843628,0.051,0.949,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B32d_1,0.31,0.789421,0.221193,0.022231,0.479421,154.65,0.52752,0.1212,0.9192,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B32d_2,0.69,0.947963,0.223825,0.022495,0.257963,37.39,0.340788,0.0606,0.9596,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B41d_1,0.11,0.05584,0.155927,0.015671,-0.05416,-49.24,0.164319,0.2828,0.596,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B41d_2,-0.3,-0.025642,0.150906,0.015167,0.274358,91.45,0.312754,0.0612,0.1735,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B42d_1,0.57,0.146712,0.134072,0.013475,-0.423288,-74.26,0.443809,0.101,0.899,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B42d_2,0.01,0.021114,0.117004,0.011759,0.011114,111.14,0.116941,0.8586,0.1111,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,Q1d_1,0.08,0.047523,0.016403,0.001649,-0.032477,-40.6,0.036347,1.0,0.0,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,Q1d_2,0.05,0.043508,0.006295,0.000633,-0.006492,-12.98,0.00902,1.0,0.0,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,R1d_1,0.23,0.260417,0.014576,0.001465,0.030417,13.22,0.033698,1.0,1.0,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,R1d_2,0.21,0.241618,0.013556,0.001362,0.031618,15.06,0.034374,1.0,1.0,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,R1d_3,0.16,0.175838,0.007006,0.000704,0.015838,9.9,0.017304,1.0,1.0,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,R1d_4,0.61,0.61808,0.019314,0.001941,0.00808,1.32,0.020846,1.0,1.0,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,R2d_1,0.82,1.109886,1.352309,0.135912,0.289886,35.35,1.376337,1.0,0.0104,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,R2d_2,0.73,0.902661,1.396538,0.140357,0.172661,23.65,1.400153,1.0,0.0104,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,gamma2,-1.17,-0.059027,8.411527,0.84539,1.110973,94.95,8.442355,0.7889,0.1222,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,gamma3_1,0.26,-5.494225,136.68628,13.737488,-5.754225,-2213.16,136.115875,0.8652,0.1236,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,gamma3_2,-0.83,-10.502915,36.673824,3.685858,-9.672915,-1165.41,37.748499,0.9195,0.1034,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,gamma4_1,-0.74,4.698876,159.609738,16.041382,5.438876,734.98,158.894695,0.9326,0.0449,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,gamma4_2,-0.19,-0.032926,32.632341,3.279674,0.157074,82.67,32.467492,0.931,0.0575,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
