Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,N_Valid,Mean_All_LL_Best,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score
two_stage,100,50,gamma1,4.5951,1.698064,2.045157,0.204516,-2.897036,-63.05,3.540291,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,B11_1,-0.0116213820874691,-0.130762,0.216723,0.021672,-0.119141,-1025.19,0.246361,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,B11_2,0.0196346789598464,-0.027494,0.105023,0.010502,-0.047128,-240.03,0.114633,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,B21_1,-0.0830020457506179,-0.227092,0.177261,0.017726,-0.14409,-173.6,0.227748,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,B21_2,-0.0848798528313636,-0.188782,0.13982,0.013982,-0.103903,-122.41,0.173637,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,B22_1,-0.0398556925356388,-0.104393,0.156464,0.015646,-0.064537,-161.93,0.168526,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,B22_2,-0.0677025541663169,-0.084516,0.133036,0.013304,-0.016813,-24.83,0.133432,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,B31d_1,0.838375449180603,0.778788,0.146013,0.014601,-0.059588,-7.11,0.157026,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,B31d_2,0.8329758048057556,0.737223,0.192707,0.019271,-0.095753,-11.5,0.21432,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,B32d_1,0.7941706776618958,0.888034,0.088888,0.008889,0.093863,11.82,0.128967,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,B32d_2,0.9093148112297058,0.966391,0.039139,0.003914,0.057076,6.28,0.069096,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,B41d_1,-0.0179675202816724,-0.027532,0.125132,0.012513,-0.009565,-53.23,0.124872,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,B41d_2,-0.0652224943041801,-0.096583,0.154752,0.015475,-0.031361,-48.08,0.157138,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
