Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score
two_stage,50,50,gamma1,4.5951,4.5951,0.0,0.0,-0.0,-0.0,0.0,,,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B11_1,-0.1910905987024307,-0.135111,0.121828,0.012183,0.055979,29.29,0.133519,0.45,0.88,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B11_2,-0.1816258579492569,-0.101137,0.099171,0.009917,0.080489,44.32,0.127338,0.38,0.86,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B21_1,-0.1249924674630165,-0.222987,0.176831,0.017683,-0.097994,-78.4,0.201393,0.34,0.82,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B21_2,-0.2233573198318481,-0.214103,0.136815,0.013682,0.009255,4.14,0.136444,0.25,0.87,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B22_1,-0.0375334806740284,-0.166071,0.187905,0.01879,-0.128537,-342.46,0.226885,0.12,0.63,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B22_2,-0.0254862941801548,-0.101699,0.13376,0.013376,-0.076213,-299.03,0.153367,0.2,0.57,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B31d_1,0.7210590839385986,0.714783,0.127749,0.012775,-0.006276,-0.87,0.127263,0.38,1.0,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B31d_2,0.4442982375621795,0.604011,0.132725,0.013272,0.159713,35.95,0.207239,0.43,0.98,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B32d_1,0.8741229772567749,0.902896,0.101862,0.010186,0.028773,3.29,0.105356,0.02,1.0,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B32d_2,0.943215787410736,0.978681,0.032818,0.003282,0.035465,3.76,0.048208,0.13,1.0,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B41d_1,-0.0809066295623779,-0.045658,0.094456,0.009446,0.035249,43.57,0.100375,0.43,0.6,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B41d_2,-0.1888673603534698,-0.143605,0.106631,0.010663,0.045263,23.97,0.115348,0.45,0.8,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B42d_1,0.0254016313701868,0.043854,0.05953,0.005953,0.018452,72.64,0.062039,0.15,0.47,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B42d_2,0.0152298985049128,0.000783,0.014558,0.001456,-0.014447,-94.86,0.020458,0.24,0.42,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,Q1d_1,0.0287673525248058,0.035248,0.0116,0.00116,0.00648,22.53,0.013237,1.0,0.0,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,Q1d_2,0.0157763340232652,0.020973,0.005735,0.000574,0.005197,32.94,0.007718,1.0,0.0,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,R1d_1,0.2623160776475299,0.261584,0.010739,0.001074,-0.000732,-0.28,0.010711,1.0,1.0,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,R1d_2,0.289368588330336,0.28773,0.011531,0.001153,-0.001639,-0.57,0.011589,1.0,1.0,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,R1d_3,0.2779072461653442,0.276562,0.008829,0.000883,-0.001345,-0.48,0.008888,1.0,1.0,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,R1d_4,0.4188099580419371,0.417195,0.013406,0.001341,-0.001615,-0.39,0.013437,1.0,1.0,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,R2d_1,0.6604451872095709,1.432694,2.465987,0.246599,0.772248,116.93,2.572285,1.0,0.0109,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,R2d_2,0.8759685681393429,1.318956,2.435973,0.243597,0.442987,50.57,2.463912,1.0,0.0,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,gamma2,0.22360660135746,0.250677,1.13718,0.113718,0.02707,12.11,1.131803,0.88,0.1,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,gamma3_1,-5.060139656066895,-2.376491,1.978467,0.197847,2.683649,53.04,3.328237,0.41,0.68,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,gamma3_2,0.760464072227478,-1.229883,4.308986,0.430899,-1.990347,-261.73,4.726856,0.76,0.22,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,gamma4_1,0.0,-0.036434,2.029223,0.202922,-0.036434,,2.01938,0.91,0.09,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,gamma4_2,0.0,0.20349,3.266947,0.326695,0.20349,,3.256934,0.87,0.13,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B12_1,0.080476090312004,0.072046,0.085925,0.008593,-0.00843,-10.48,0.085909,,,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,B12_2,0.0898730307817459,0.068084,0.061082,0.006108,-0.021789,-24.24,0.064564,,,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
two_stage,50,50,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,100,-3.6845,0.717,0.8837,0.6351,0.5758,0.6779,0.7163,0.9404,0.5712,0.6146,0.7294
