Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\bm{b}_{11}$,1,-0.05,0.0917,0.1006,0.6061,0.0739,0.1069,0.8384,0.0734,0.1362,0.6837,0.0482,0.1213,0.7938
$\bm{b}_{11}$,2,-0.06,0.0957,0.1054,0.8081,0.0902,0.0972,0.9192,0.077,0.0983,0.7857,0.0851,0.0995,0.8557
$\bm{b}_{12}$,1,0.45,-0.2203,0.2979,NA,-0.2832,0.323,NA,-0.2596,0.3164,NA,-0.1732,0.4417,NA
$\bm{b}_{12}$,2,0.22,-0.103,0.1711,NA,-0.1415,0.1505,NA,-0.1363,0.1666,NA,-0.152,0.1625,NA
$\bm{b}_{21}$,1,-0.87,0.8117,0.8162,0.4747,0.8006,0.809,0.8788,0.8133,0.8536,0.6633,0.7373,0.7586,0.8969
$\bm{b}_{21}$,2,-0.77,0.7249,0.7291,0.4242,0.7139,0.7231,0.7778,0.7067,0.7182,0.4286,0.7,0.7106,0.7629
$\bm{b}_{22}$,1,-0.92,0.655,0.7773,0.7273,0.7014,0.8003,0.8889,0.6751,0.7679,0.8265,0.6902,0.7692,0.9691
$\bm{b}_{22}$,2,-0.45,0.3672,0.4144,0.4242,0.3904,0.4016,0.596,0.3681,0.3916,0.5306,0.3922,0.4012,0.6598
$\mathrm{diag}(\bm{B}_{31})$,1,0.33,0.4666,0.587,0.9697,0.4574,0.6515,0.9697,0.4424,0.6488,0.9082,0.2568,1.2982,0.8438
$\mathrm{diag}(\bm{B}_{31})$,2,0.15,0.6736,0.8115,0.9091,0.688,0.8436,0.949,0.6093,0.9616,0.875,0.6057,0.8644,0.8958
$\mathrm{diag}(\bm{B}_{32})$,1,0.31,0.4318,0.491,0.8586,0.4794,0.5275,0.9192,0.4599,0.5019,0.8878,0.4092,0.4744,0.9588
$\mathrm{diag}(\bm{B}_{32})$,2,0.69,0.2555,0.2732,0.899,0.258,0.3408,0.9596,0.2589,0.2679,0.9184,0.2726,0.2751,0.9897
$\mathrm{diag}(\bm{B}_{41})$,1,0.11,-0.096,0.237,0.3636,-0.0542,0.1643,0.596,-0.051,0.1756,0.4286,-0.1367,0.575,0.6354
$\mathrm{diag}(\bm{B}_{41})$,2,-0.3,0.2564,0.3167,0.0909,0.2744,0.3128,0.1735,0.2485,0.4333,0.1771,0.2397,0.4426,0.2396
$\mathrm{diag}(\bm{B}_{42})$,1,0.57,-0.3797,0.4237,0.7475,-0.4233,0.4438,0.899,-0.3998,0.4322,0.8673,-0.3717,0.4085,0.9794
$\mathrm{diag}(\bm{B}_{42})$,2,0.01,0.0047,0.057,0.0909,0.0111,0.1169,0.1111,0.0054,0.0309,0.2245,-0.0018,0.0181,0.3093
$\bm{Q}_1$,1,0.08,-0.032,0.0365,0.0,-0.0325,0.0363,0.0,-0.0405,0.0455,0.0102,-0.0375,0.0425,0.0412
$\bm{Q}_1$,2,0.05,-0.006,0.0106,0.0,-0.0065,0.009,0.0,-0.0173,0.0182,0.0,-0.0182,0.0189,0.0
$\bm{Q}_2$,1,0.16,-0.1224,0.1272,NA,-0.1092,0.1206,NA,-0.0979,0.2855,NA,-0.0164,0.7287,NA
$\bm{Q}_2$,2,0.12,-0.0712,0.0742,NA,-0.0598,0.0731,NA,-0.0904,0.1059,NA,-0.0728,0.1165,NA
$P_2$,1,0.2,0.5108,0.5473,NA,0.4639,0.4821,NA,0.4919,0.5312,NA,0.4504,0.4632,NA
