Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,2.94672,10.397827,1.045021,0.898479,4.994961,,,SimulationMean,gamma1,gamma1
B11_1,0.018283,0.018408,0.00185,0.014657,0.021909,,,SimulationMean,B11_1,B11_1
B11_2,0.016498,0.043678,0.00439,0.007894,0.025102,,,SimulationMean,B11_2,B11_2
B21_1,-0.057062,0.084854,0.008528,-0.073777,-0.040347,,,SimulationMean,B21_1,B21_1
B21_2,-0.050251,0.097383,0.009787,-0.069434,-0.031068,,,SimulationMean,B21_2,B21_2
B22_1,-0.159213,0.278771,0.028018,-0.214128,-0.104298,,,SimulationMean,B22_1,B22_1
B22_2,-0.061634,0.139354,0.014006,-0.089086,-0.034182,,,SimulationMean,B22_2,B22_2
B31d_1,0.897568,0.162234,0.016305,0.86561,0.929526,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.859041,0.388941,0.03909,0.782425,0.935657,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.800372,0.174985,0.017587,0.765901,0.834843,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.953659,0.066843,0.006718,0.940492,0.966826,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.024317,0.135261,0.013594,-0.002327,0.050961,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.035669,0.180476,0.018139,-0.071221,-0.000117,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.140509,0.161066,0.016188,0.108781,0.172237,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.008492,0.041896,0.004211,0.000238,0.016746,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.035003,0.017378,0.001747,0.031579,0.038427,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.023918,0.005741,0.000577,0.022787,0.025049,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.266658,0.016648,0.001673,0.263379,0.269937,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.247122,0.012644,0.001271,0.244631,0.249613,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.188321,0.007674,0.000771,0.18681,0.189832,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.631389,0.019907,0.002001,0.627467,0.635311,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.735735,3.032078,0.304735,1.138454,2.333016,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.99578,1.828564,0.183778,0.635575,1.355985,,,SimulationMean,R2d_2,R2d_2
gamma2,-2.670135,14.355123,1.442744,-5.497913,0.157643,,,SimulationMean,gamma2,gamma2
gamma3_1,-28.25415,143.50443,14.422738,-56.522716,0.014416,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-29.092366,129.692145,13.034551,-54.640086,-3.544646,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,7.553397,63.020146,6.333763,-4.860778,19.967572,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,14.428925,96.56583,9.705231,-4.593328,33.451178,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.155099,0.151336,0.01521,0.125287,0.184911,,,SimulationMean,B12_1,B12_1
B12_2,0.084569,0.094176,0.009465,0.066018,0.10312,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.02828,0.047815,0.004806,0.01886,0.0377,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.021651,0.014761,0.001484,0.018742,0.02456,,,SimulationMean,Q2d_2,Q2d_2
P2,0.697466,0.208372,0.020942,0.65642,0.738512,,,SimulationMean,P2,P2
