Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,-2.949053,17.251274,1.742642,-6.364631,0.466525,,,SimulationMean,gamma1,gamma1
B11_1,0.011809,0.072663,0.00734,-0.002577,0.026195,,,SimulationMean,B11_1,B11_1
B11_2,0.004531,0.075763,0.007653,-0.010469,0.019531,,,SimulationMean,B11_2,B11_2
B21_1,-0.092708,0.13747,0.013887,-0.119927,-0.065489,,,SimulationMean,B21_1,B21_1
B21_2,-0.104739,0.164165,0.016583,-0.137242,-0.072236,,,SimulationMean,B21_2,B21_2
B22_1,-0.179694,0.225846,0.022814,-0.224409,-0.134979,,,SimulationMean,B22_1,B22_1
B22_2,-0.067011,0.121803,0.012304,-0.091127,-0.042895,,,SimulationMean,B22_2,B22_2
B31d_1,0.848383,0.448462,0.045301,0.759593,0.937173,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.708756,0.708994,0.071619,0.568383,0.849129,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.792162,0.189598,0.019152,0.754624,0.8297,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.953221,0.055316,0.005588,0.942269,0.964173,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.049588,0.076135,0.007691,0.034514,0.064662,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.050778,0.217054,0.021926,-0.093753,-0.007803,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.139936,0.16337,0.016503,0.10759,0.172282,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.007669,0.03734,0.003772,0.000276,0.015062,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.035268,0.015792,0.001595,0.032142,0.038394,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.023287,0.004024,0.000407,0.022489,0.024085,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.266798,0.013389,0.001353,0.264146,0.26945,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.247543,0.014356,0.00145,0.244701,0.250385,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.187971,0.005787,0.000585,0.186824,0.189118,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.630485,0.014102,0.001425,0.627692,0.633278,,,SimulationMean,R1d_4,R1d_4
R2d_1,0.985896,0.511083,0.051627,0.884707,1.087085,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.923839,1.555768,0.157156,0.615813,1.231865,,,SimulationMean,R2d_2,R2d_2
gamma2,-0.93681,5.729417,0.578759,-2.071178,0.197558,,,SimulationMean,gamma2,gamma2
gamma3_1,-19.184969,145.450401,14.692709,-47.982679,9.612741,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-10.850069,25.85934,2.612188,-15.969957,-5.730181,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,-5.331118,58.874168,5.947189,-16.987608,6.325372,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,29.775428,262.156764,26.481832,-22.128963,81.679819,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.159114,0.158785,0.01604,0.127676,0.190552,,,SimulationMean,B12_1,B12_1
B12_2,0.094092,0.115474,0.011665,0.071229,0.116955,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.041109,0.105964,0.010704,0.020129,0.062089,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.03391,0.054085,0.005463,0.023203,0.044617,,,SimulationMean,Q2d_2,Q2d_2
P2,0.661025,0.12962,0.013094,0.635361,0.686689,,,SimulationMean,P2,P2
