Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,100,25,gamma1,3.5,-0.139888,15.086632,1.516264,-3.639888,-104.0,15.445264,0.6818,0.4432,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B11_1,-0.05,0.001611,0.063163,0.006348,0.051611,103.22,0.081321,0.0606,0.6869,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B11_2,-0.06,0.010798,0.050962,0.005122,0.070798,118.0,0.087082,0.0606,0.9192,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B21_1,-0.87,-0.058857,0.117925,0.011852,0.811143,93.23,0.819585,0.0404,0.9495,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B21_2,-0.77,-0.055084,0.127661,0.01283,0.714916,92.85,0.726112,0.0404,0.798,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B22_1,-0.92,-0.101461,0.14874,0.014949,0.818539,88.97,0.831809,0.0404,0.7273,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B22_2,-0.45,-0.050082,0.123828,0.012445,0.399918,88.87,0.418465,0.0707,0.3333,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B31d_1,0.33,0.839634,0.567341,0.05702,0.509634,154.43,0.760494,0.0204,0.9796,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B31d_2,0.15,0.837533,0.511179,0.051375,0.687533,458.36,0.8552,0.0309,0.9691,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B32d_1,0.31,0.839231,0.160124,0.016093,0.529231,170.72,0.55269,0.0909,0.9394,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B32d_2,0.69,0.955788,0.073257,0.007363,0.265788,38.52,0.2756,0.0707,0.9798,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B41d_1,0.11,0.039709,0.150566,0.015132,-0.070291,-63.9,0.165475,0.1327,0.6224,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B41d_2,-0.3,-0.014435,0.069767,0.007012,0.285565,95.19,0.29388,0.0619,0.3814,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B42d_1,0.57,0.08815,0.106675,0.010721,-0.48185,-84.54,0.493401,0.101,0.7374,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B42d_2,0.01,0.012326,0.039346,0.003954,0.002326,23.26,0.039216,0.8182,0.1818,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,Q1d_1,0.08,0.032421,0.009983,0.001003,-0.047579,-59.47,0.048605,1.0,0.0,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,Q1d_2,0.05,0.024461,0.00561,0.000564,-0.025539,-51.08,0.026142,1.0,0.0,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,R1d_1,0.23,0.26977,0.012293,0.001236,0.03977,17.29,0.041608,1.0,1.0,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,R1d_2,0.21,0.250949,0.012426,0.001249,0.040949,19.5,0.042775,1.0,1.0,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,R1d_3,0.16,0.190098,0.008166,0.000821,0.030098,18.81,0.031175,1.0,1.0,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,R1d_4,0.61,0.630873,0.019481,0.001958,0.020873,3.42,0.028485,0.9697,1.0,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,R2d_1,0.82,0.942104,0.430946,0.043312,0.122104,14.89,0.445812,1.0,0.0,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,R2d_2,0.73,0.831276,0.998178,0.100321,0.101276,13.87,0.998275,1.0,0.0,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,gamma2,-1.17,-1.442822,5.699649,0.572836,-0.272822,-23.32,5.677349,0.8977,0.0682,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,gamma3_1,0.26,-13.069174,53.741596,5.401234,-13.329174,-5126.61,55.105832,0.8864,0.1023,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,gamma3_2,-0.83,-21.595736,61.187547,6.14958,-20.765736,-2501.9,64.321959,0.8636,0.2159,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,gamma4_1,-0.74,26.897255,253.348941,25.462527,27.637255,3734.76,253.576741,0.9318,0.0795,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,gamma4_2,-0.19,-4.814834,35.610506,3.578991,-4.624834,-2434.12,35.730772,0.9091,0.1136,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B12_1,0.45,0.135211,0.128251,0.01289,-0.314789,-69.95,0.339668,,,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,B12_2,0.22,0.132781,0.15725,0.015804,-0.087219,-39.64,0.179122,,,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,Q2d_1,0.16,0.028662,0.022378,0.002249,-0.131338,-82.09,0.133211,,,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,Q2d_2,0.12,0.036482,0.018403,0.00185,-0.083518,-69.6,0.085502,,,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,P2,0.2,0.664499,0.116398,0.011698,0.464499,232.25,0.478719,,,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,LogLikelihood,,-3.7184,0.0317,,,,,,,99,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,25,ConvergenceRate,,0.99,,,,,,,,100,-3.7184,0.5026,0.5274,0.5913,0.676,0.5562,0.5071,0.4868,0.294,0.706,0.6158,0.71,0.4992,0.7008,0.6434,0.5517,0.5543
two_stage,100,50,gamma1,3.5,-2.949053,17.251274,1.742642,-6.449053,-184.26,18.334665,0.6047,0.6628,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B11_1,-0.05,0.011809,0.072663,0.00734,0.061809,123.62,0.095113,0.051,0.8163,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B11_2,-0.06,0.004531,0.075763,0.007653,0.064531,107.55,0.099226,0.102,0.8571,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B21_1,-0.87,-0.092708,0.13747,0.013887,0.777292,89.34,0.789233,0.0204,0.9286,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B21_2,-0.77,-0.104739,0.164165,0.016583,0.665261,86.4,0.685016,0.0714,0.9082,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B22_1,-0.92,-0.179694,0.225846,0.022814,0.740306,80.47,0.773653,0.0612,0.8878,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B22_2,-0.45,-0.067011,0.121803,0.012304,0.382989,85.11,0.401703,0.051,0.5408,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B31d_1,0.33,0.848383,0.448462,0.045301,0.518383,157.09,0.683949,0.0918,0.9184,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B31d_2,0.15,0.708756,0.708994,0.071619,0.558756,372.5,0.899862,0.0515,0.9485,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B32d_1,0.31,0.792162,0.189598,0.019152,0.482162,155.54,0.517746,0.102,0.949,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B32d_2,0.69,0.953221,0.055316,0.005588,0.263221,38.15,0.268912,0.0306,0.9898,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B41d_1,0.11,0.049588,0.076135,0.007691,-0.060412,-54.92,0.096887,0.3061,0.6429,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B41d_2,-0.3,-0.050778,0.217054,0.021926,0.249222,83.07,0.329762,0.1031,0.3402,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B42d_1,0.57,0.139936,0.16337,0.016503,-0.430064,-75.45,0.459752,0.1122,0.898,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B42d_2,0.01,0.007669,0.03734,0.003772,-0.002331,-23.31,0.037222,0.6224,0.2347,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,Q1d_1,0.08,0.035268,0.015792,0.001595,-0.044732,-55.91,0.047411,1.0,0.0102,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,Q1d_2,0.05,0.023287,0.004024,0.000407,-0.026713,-53.43,0.027012,1.0,0.0,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
