Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\bm{b}_{11}$,1,-0.05,NA,NA,NA,0.0516,0.0813,0.6869,0.0683,0.0707,0.5253,0.0618,0.0951,0.8163
$\bm{b}_{11}$,2,-0.06,NA,NA,NA,0.0708,0.0871,0.9192,0.0765,0.088,0.7879,0.0645,0.0992,0.8571
$\bm{b}_{12}$,1,0.45,NA,NA,NA,-0.3148,0.3397,NA,-0.2949,0.3311,NA,-0.2909,0.331,NA
$\bm{b}_{12}$,2,0.22,NA,NA,NA,-0.0872,0.1791,NA,-0.1354,0.1647,NA,-0.1259,0.1704,NA
$\bm{b}_{21}$,1,-0.87,NA,NA,NA,0.8111,0.8196,0.9495,0.8129,0.8173,0.6869,0.7773,0.7892,0.9286
$\bm{b}_{21}$,2,-0.77,NA,NA,NA,0.7149,0.7261,0.798,0.7197,0.7262,0.5455,0.6653,0.685,0.9082
$\bm{b}_{22}$,1,-0.92,NA,NA,NA,0.8185,0.8318,0.7273,0.7608,0.8098,0.6061,0.7403,0.7737,0.8878
$\bm{b}_{22}$,2,-0.45,NA,NA,NA,0.3999,0.4185,0.3333,0.3884,0.4124,0.2424,0.383,0.4017,0.5408
$\mathrm{diag}(\bm{B}_{31})$,1,0.33,NA,NA,NA,0.5096,0.7605,0.9796,0.5676,0.5901,0.9592,0.5184,0.6839,0.9184
$\mathrm{diag}(\bm{B}_{31})$,2,0.15,NA,NA,NA,0.6875,0.8552,0.9691,0.709,0.8078,0.9394,0.5588,0.8999,0.9485
$\mathrm{diag}(\bm{B}_{32})$,1,0.31,NA,NA,NA,0.5292,0.5527,0.9394,0.4904,0.5204,0.9091,0.4822,0.5177,0.949
$\mathrm{diag}(\bm{B}_{32})$,2,0.69,NA,NA,NA,0.2658,0.2756,0.9798,0.2637,0.2719,0.9293,0.2632,0.2689,0.9898
$\mathrm{diag}(\bm{B}_{41})$,1,0.11,NA,NA,NA,-0.0703,0.1655,0.6224,-0.0857,0.1595,0.4184,-0.0604,0.0969,0.6429
$\mathrm{diag}(\bm{B}_{41})$,2,-0.3,NA,NA,NA,0.2856,0.2939,0.3814,0.2643,0.3196,0.2323,0.2492,0.3298,0.3402
$\mathrm{diag}(\bm{B}_{42})$,1,0.57,NA,NA,NA,-0.4819,0.4934,0.7374,-0.4295,0.4584,0.6364,-0.4301,0.4598,0.898
$\mathrm{diag}(\bm{B}_{42})$,2,0.01,NA,NA,NA,0.0023,0.0392,0.1818,-0.0015,0.0417,0.1313,-0.0023,0.0372,0.2347
$\bm{Q}_1$,1,0.08,NA,NA,NA,-0.0476,0.0486,0.0,-0.045,0.0482,0.0,-0.0447,0.0474,0.0102
$\bm{Q}_1$,2,0.05,NA,NA,NA,-0.0255,0.0261,0.0,-0.0261,0.0267,0.0,-0.0267,0.027,0.0
$\bm{Q}_2$,1,0.16,NA,NA,NA,-0.1313,0.1332,NA,-0.1317,0.14,NA,-0.1189,0.1589,NA
$\bm{Q}_2$,2,0.12,NA,NA,NA,-0.0835,0.0855,NA,-0.0983,0.0994,NA,-0.0861,0.1015,NA
$P_2$,1,0.2,NA,NA,NA,0.4645,0.4787,NA,0.4975,0.5389,NA,0.461,0.4787,NA
