Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,4.012437,0.810767,0.081485,3.852726,4.172148,,,SimulationMean,gamma1,gamma1
B11_1,-0.048493,0.072511,0.007288,-0.062777,-0.034209,,,SimulationMean,B11_1,B11_1
B11_2,-0.03219,0.070539,0.007089,-0.046084,-0.018296,,,SimulationMean,B11_2,B11_2
B21_1,-0.248775,0.090072,0.009053,-0.266519,-0.231031,,,SimulationMean,B21_1,B21_1
B21_2,-0.231209,0.091564,0.009202,-0.249245,-0.213173,,,SimulationMean,B21_2,B21_2
B22_1,-0.34326,0.148252,0.0149,-0.372464,-0.314056,,,SimulationMean,B22_1,B22_1
B22_2,-0.177307,0.101209,0.010172,-0.197244,-0.15737,,,SimulationMean,B22_2,B22_2
B31d_1,0.349919,0.096353,0.009684,0.330938,0.3689,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.155991,0.121335,0.012195,0.132089,0.179893,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.379501,0.131617,0.013228,0.353574,0.405428,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.663882,0.056846,0.005713,0.652685,0.675079,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.04445,0.087122,0.008756,0.027288,0.061612,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.083251,0.136417,0.01371,-0.110123,-0.056379,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.230351,0.144988,0.014572,0.20179,0.258912,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.01261,0.067809,0.006815,-0.000747,0.025967,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.087321,0.010702,0.001076,0.085212,0.08943,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.053105,0.009672,0.000972,0.0512,0.05501,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.230375,0.012543,0.001261,0.227903,0.232847,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.209202,0.014487,0.001456,0.206348,0.212056,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.160609,0.010862,0.001092,0.158469,0.162749,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.613307,0.023789,0.002391,0.608621,0.617993,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.531505,2.548775,0.256162,1.029427,2.033583,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.941001,1.183236,0.11892,0.707918,1.174084,,,SimulationMean,R2d_2,R2d_2
Q2d_1,0.186938,0.062065,0.006238,0.174712,0.199164,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.16208,0.054133,0.005441,0.151416,0.172744,,,SimulationMean,Q2d_2,Q2d_2
gamma2,-0.150814,1.193277,0.119929,-0.385875,0.084247,,,SimulationMean,gamma2,gamma2
gamma3_1,-1.493819,3.031482,0.304675,-2.090982,-0.896656,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-3.062414,4.154151,0.417508,-3.88073,-2.244098,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,-0.752191,3.1831,0.319914,-1.379222,-0.12516,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.046636,6.067542,0.609811,-1.148594,1.241866,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.376278,0.123681,0.01243,0.351915,0.400641,,,SimulationMean,B12_1,B12_1
B12_2,0.266469,0.10434,0.010487,0.245914,0.287024,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
P2,0.70076,0.192136,0.01931,0.662912,0.738608,,,SimulationMean,P2,P2
