Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,100,25,gamma1,3.5,3.772675,0.291115,0.029258,0.272675,7.79,0.397798,0.9697,1.0,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B11_1,-0.05,-0.050259,0.052449,0.005271,-0.000259,-0.52,0.052184,0.9798,0.0707,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B11_2,-0.06,-0.028852,0.047899,0.004814,0.031148,51.91,0.056933,0.9495,0.0101,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B21_1,-0.87,-0.256879,0.072691,0.007306,0.613121,70.47,0.617372,0.0,0.8485,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B21_2,-0.77,-0.234716,0.071935,0.00723,0.535284,69.52,0.540048,0.0,0.8687,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B22_1,-0.92,-0.332741,0.105712,0.010624,0.587259,63.83,0.596603,0.0,0.8485,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B22_2,-0.45,-0.166166,0.070064,0.007042,0.283834,63.07,0.292269,0.1919,0.3232,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B31d_1,0.33,0.359196,0.0595,0.00598,0.029196,8.85,0.066007,0.8788,1.0,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B31d_2,0.15,0.171375,0.08732,0.008776,0.021375,14.25,0.089468,0.9394,0.5152,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B32d_1,0.31,0.398889,0.103513,0.010403,0.088889,28.67,0.136044,0.5859,0.9899,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B32d_2,0.69,0.671724,0.045504,0.004573,-0.018276,-2.65,0.048823,0.9394,1.0,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B41d_1,0.11,0.045884,0.057083,0.005737,-0.064116,-58.29,0.085653,0.798,0.1313,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B41d_2,-0.3,-0.074436,0.086883,0.008732,0.225564,75.19,0.24156,0.202,0.202,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B42d_1,0.57,0.235621,0.104513,0.010504,-0.334379,-58.66,0.350174,0.0202,0.7879,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B42d_2,0.01,0.010405,0.04268,0.004289,0.000405,4.05,0.042466,0.9798,0.0202,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,Q1d_1,0.08,0.088569,0.00712,0.000716,0.008569,10.71,0.011118,1.0,0.0,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,Q1d_2,0.05,0.054261,0.007219,0.000726,0.004261,8.52,0.008351,1.0,0.0,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,R1d_1,0.23,0.230109,0.008523,0.000857,0.000109,0.05,0.00848,1.0,1.0,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,R1d_2,0.21,0.210326,0.009186,0.000923,0.000326,0.16,0.009146,1.0,1.0,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
