Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,50,50,gamma1,3.5,3.907849,0.326677,0.032832,0.407849,11.65,0.521518,0.9899,1.0,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B11_1,-0.05,-0.050459,0.069214,0.006956,-0.000459,-0.92,0.068865,0.9899,0.0202,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B11_2,-0.06,-0.028312,0.062623,0.006294,0.031688,52.81,0.069901,0.9697,0.0101,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B21_1,-0.87,-0.260128,0.087957,0.00884,0.609872,70.1,0.616119,0.0505,0.1717,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B21_2,-0.77,-0.233378,0.082055,0.008247,0.536622,69.69,0.542796,0.0202,0.1818,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B22_1,-0.92,-0.331493,0.118471,0.011907,0.588507,63.97,0.600195,0.1212,0.3939,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B22_2,-0.45,-0.166322,0.076974,0.007736,0.283678,63.04,0.293834,0.6667,0.0101,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B31d_1,0.33,0.355322,0.076177,0.007656,0.025322,7.67,0.07991,0.9091,0.9899,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B31d_2,0.15,0.203556,0.09633,0.009682,0.053556,35.7,0.109791,0.9293,0.3737,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B32d_1,0.31,0.397249,0.109933,0.011049,0.087249,28.14,0.139912,0.6465,1.0,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B32d_2,0.69,0.687224,0.039252,0.003945,-0.002776,-0.4,0.039151,0.9697,1.0,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B41d_1,0.11,0.051908,0.068805,0.006915,-0.058092,-52.81,0.089783,0.9495,0.0808,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B41d_2,-0.3,-0.078458,0.103222,0.010374,0.221542,73.85,0.244188,0.6465,0.0808,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B42d_1,0.57,0.239342,0.116399,0.011699,-0.330658,-58.01,0.350352,0.0303,0.7475,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B42d_2,0.01,0.009652,0.040975,0.004118,-0.000348,-3.48,0.040769,0.9899,0.0202,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,Q1d_1,0.08,0.085244,0.009021,0.000907,0.005244,6.56,0.010395,1.0,0.0,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
