Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\bm{b}_{11}$,1,-0.05,0.0015,0.0722,0.0,-0.0003,0.0522,0.0707,-0.0005,0.0689,0.0202,0.0039,0.0569,0.0909
$\bm{b}_{11}$,2,-0.06,0.0278,0.0755,0.0101,0.0311,0.0569,0.0101,0.0317,0.0699,0.0101,0.0324,0.0537,0.0505
$\bm{b}_{12}$,1,0.45,-0.0737,0.1434,NA,-0.0782,0.1245,NA,-0.0733,0.1212,NA,-0.0748,0.1116,NA
$\bm{b}_{12}$,2,0.22,0.0465,0.1137,NA,0.0469,0.0815,NA,0.0293,0.0758,NA,0.0288,0.0604,NA
$\bm{b}_{21}$,1,-0.87,0.6212,0.6277,0.1313,0.6131,0.6174,0.8485,0.6099,0.6161,0.1717,0.609,0.6136,0.798
$\bm{b}_{21}$,2,-0.77,0.5388,0.5464,0.1212,0.5353,0.54,0.8687,0.5366,0.5428,0.1818,0.5403,0.5442,0.899
$\bm{b}_{22}$,1,-0.92,0.5767,0.5953,0.2525,0.5873,0.5966,0.8485,0.5885,0.6002,0.3939,0.5697,0.5764,0.9697
$\bm{b}_{22}$,2,-0.45,0.2727,0.2907,0.0303,0.2838,0.2923,0.3232,0.2837,0.2938,0.0101,0.2872,0.2938,0.5455
$\mathrm{diag}(\bm{B}_{31})$,1,0.33,0.0199,0.0979,0.8384,0.0292,0.066,1.0,0.0253,0.0799,0.9899,0.0378,0.0738,1.0
$\mathrm{diag}(\bm{B}_{31})$,2,0.15,0.006,0.1209,0.0707,0.0214,0.0895,0.5152,0.0536,0.1098,0.3737,0.0795,0.1074,0.9596
$\mathrm{diag}(\bm{B}_{32})$,1,0.31,0.0695,0.1483,0.6465,0.0889,0.136,0.9899,0.0872,0.1399,1.0,0.1015,0.1374,1.0
$\mathrm{diag}(\bm{B}_{32})$,2,0.69,-0.0261,0.0623,1.0,-0.0183,0.0488,1.0,-0.0028,0.0392,1.0,0.0047,0.0257,1.0
$\mathrm{diag}(\bm{B}_{41})$,1,0.11,-0.0655,0.1087,0.0303,-0.0641,0.0857,0.1313,-0.0581,0.0898,0.0808,-0.0385,0.0774,0.4444
$\mathrm{diag}(\bm{B}_{41})$,2,-0.3,0.2167,0.2557,0.0808,0.2256,0.2416,0.202,0.2215,0.2442,0.0808,0.2253,0.2389,0.3737
$\mathrm{diag}(\bm{B}_{42})$,1,0.57,-0.3396,0.369,0.3333,-0.3344,0.3502,0.7879,-0.3307,0.3504,0.7475,-0.306,0.3208,0.9899
$\mathrm{diag}(\bm{B}_{42})$,2,0.01,0.0026,0.0675,0.0,0.0004,0.0425,0.0202,-0.0003,0.0408,0.0202,-0.0036,0.0315,0.1414
$\bm{Q}_1$,1,0.08,0.0073,0.0129,0.0,0.0086,0.0111,0.0,0.0052,0.0104,0.0,0.0055,0.0076,0.0101
$\bm{Q}_1$,2,0.05,0.0031,0.0101,0.0,0.0043,0.0084,0.0,0.0029,0.007,0.0,0.003,0.0058,0.0
$\bm{Q}_2$,1,0.16,0.0269,0.0674,0.0,0.0365,0.0575,0.0,0.0291,0.0618,0.0,0.0454,0.0678,0.0101
$\bm{Q}_2$,2,0.12,0.0421,0.0683,0.0,0.0449,0.0604,0.0,0.0267,0.0506,0.0,0.0266,0.0437,0.0
$P_2$,1,0.2,0.5008,0.536,NA,0.4596,0.474,NA,0.4756,0.5042,NA,0.4549,0.4704,NA
