Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,3.705711,0.18166,0.018258,3.669925,3.741497,,,SimulationMean,gamma1,gamma1
B11_1,-0.051566,0.056898,0.005718,-0.062773,-0.040359,,,SimulationMean,B11_1,B11_1
B11_2,-0.026182,0.045874,0.004611,-0.03522,-0.017144,,,SimulationMean,B11_2,B11_2
B21_1,-0.259548,0.07401,0.007438,-0.274126,-0.24497,,,SimulationMean,B21_1,B21_1
B21_2,-0.228152,0.064586,0.006491,-0.240874,-0.21543,,,SimulationMean,B21_2,B21_2
B22_1,-0.350324,0.087758,0.00882,-0.367611,-0.333037,,,SimulationMean,B22_1,B22_1
B22_2,-0.164613,0.060897,0.00612,-0.176608,-0.152618,,,SimulationMean,B22_2,B22_2
B31d_1,0.366527,0.06489,0.006522,0.353744,0.37931,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.234572,0.071601,0.007196,0.220468,0.248676,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.412749,0.091709,0.009217,0.394684,0.430814,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.698582,0.023398,0.002352,0.693972,0.703192,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.07117,0.066201,0.006653,0.05813,0.08421,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.073731,0.08074,0.008115,-0.089636,-0.057826,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.264479,0.098448,0.009894,0.245087,0.283871,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.006231,0.030026,0.003018,0.000316,0.012146,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.085081,0.005117,0.000514,0.084074,0.086088,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.052625,0.004903,0.000493,0.051659,0.053591,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.231324,0.006453,0.000649,0.230052,0.232596,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.211347,0.007076,0.000711,0.209953,0.212741,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.160522,0.005393,0.000542,0.15946,0.161584,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.609383,0.013906,0.001398,0.606643,0.612123,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.082866,1.166864,0.117274,0.853009,1.312723,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.739883,0.312626,0.03142,0.6783,0.801466,,,SimulationMean,R2d_2,R2d_2
Q2d_1,0.209153,0.050772,0.005103,0.199151,0.219155,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.144185,0.036142,0.003632,0.137066,0.151304,,,SimulationMean,Q2d_2,Q2d_2
gamma2,-0.141003,0.269488,0.027085,-0.19409,-0.087916,,,SimulationMean,gamma2,gamma2
gamma3_1,0.394199,0.310362,0.031193,0.333061,0.455337,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-0.363549,0.366823,0.036867,-0.435808,-0.29129,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,-0.262169,0.387545,0.03895,-0.338511,-0.185827,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,-0.036752,0.45959,0.046191,-0.127286,0.053782,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.375412,0.083784,0.008421,0.358907,0.391917,,,SimulationMean,B12_1,B12_1
B12_2,0.250302,0.053797,0.005407,0.239704,0.2609,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
P2,0.659277,0.123524,0.012415,0.634944,0.68361,,,SimulationMean,P2,P2
