Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,100,25,gamma1,3.5,3.580105,0.252917,0.025419,0.080105,2.29,0.264079,0.9293,1.0,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,B11_1,-0.05,-0.055709,0.053449,0.005372,-0.005709,-11.42,0.053484,0.9798,0.0808,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,B11_2,-0.06,-0.030776,0.046673,0.004691,0.029224,48.71,0.054867,0.9596,0.0303,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,B21_1,-0.87,-0.258597,0.074547,0.007492,0.611403,70.28,0.615885,0.0,0.8182,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,B21_2,-0.77,-0.234574,0.070429,0.007078,0.535426,69.54,0.539992,0.0,0.8687,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,B22_1,-0.92,-0.332414,0.104182,0.010471,0.587586,63.87,0.596659,0.0202,0.8788,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,B22_2,-0.45,-0.17272,0.073838,0.007421,0.27728,61.62,0.286847,0.2121,0.3535,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,B31d_1,0.33,0.355191,0.063306,0.006362,0.025191,7.63,0.067836,0.8889,1.0,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,B31d_2,0.15,0.176445,0.088642,0.008909,0.026445,17.63,0.092073,0.9293,0.5455,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,B32d_1,0.31,0.407576,0.102582,0.01031,0.097576,31.48,0.141202,0.5556,1.0,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
