Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\bm{b}_{11}$,1,-0.05,-0.0045,0.0733,0.0101,-0.0057,0.0535,0.0808,-0.0084,0.0712,0.0202,-0.0016,0.0566,0.1111
$\bm{b}_{11}$,2,-0.06,0.0276,0.0743,0.0101,0.0292,0.0549,0.0303,0.0318,0.0699,0.0202,0.0338,0.0568,0.0707
$\bm{b}_{12}$,1,0.45,-0.0679,0.1404,NA,-0.078,0.1239,NA,-0.0718,0.12,NA,-0.0746,0.1119,NA
$\bm{b}_{12}$,2,0.22,0.0508,0.1172,NA,0.0481,0.0822,NA,0.0313,0.0771,NA,0.0303,0.0615,NA
$\bm{b}_{21}$,1,-0.87,0.6224,0.6296,0.1313,0.6114,0.6159,0.8182,0.6097,0.6176,0.202,0.6105,0.6149,0.8384
$\bm{b}_{21}$,2,-0.77,0.5411,0.5489,0.1212,0.5354,0.54,0.8687,0.5403,0.547,0.202,0.5418,0.5456,0.9091
$\bm{b}_{22}$,1,-0.92,0.5901,0.6097,0.202,0.5876,0.5967,0.8788,0.5842,0.5961,0.4343,0.5697,0.5763,0.9697
$\bm{b}_{22}$,2,-0.45,0.2679,0.2886,0.0,0.2773,0.2868,0.3535,0.2812,0.2923,0.0303,0.2854,0.2917,0.5758
$\mathrm{diag}(\bm{B}_{31})$,1,0.33,0.0137,0.0985,0.8485,0.0252,0.0678,1.0,0.0211,0.0785,0.9899,0.0365,0.0742,1.0
$\mathrm{diag}(\bm{B}_{31})$,2,0.15,0.016,0.1271,0.101,0.0264,0.0921,0.5455,0.0601,0.1119,0.3232,0.0846,0.1106,0.9596
$\mathrm{diag}(\bm{B}_{32})$,1,0.31,0.0806,0.158,0.6566,0.0976,0.1412,1.0,0.0856,0.1369,1.0,0.1027,0.1374,1.0
$\mathrm{diag}(\bm{B}_{32})$,2,0.69,-0.0176,0.0554,0.9899,-0.0131,0.0464,1.0,0.0013,0.0386,1.0,0.0086,0.0248,1.0
$\mathrm{diag}(\bm{B}_{41})$,1,0.11,-0.0637,0.1086,0.0202,-0.0655,0.086,0.1313,-0.0575,0.0928,0.101,-0.0388,0.0765,0.4646
$\mathrm{diag}(\bm{B}_{41})$,2,-0.3,0.2201,0.2471,0.0303,0.2255,0.2411,0.2121,0.2248,0.2503,0.0909,0.2263,0.2401,0.3737
$\mathrm{diag}(\bm{B}_{42})$,1,0.57,-0.3518,0.3845,0.2828,-0.3374,0.3535,0.798,-0.3287,0.3494,0.7576,-0.3055,0.3208,1.0
$\mathrm{diag}(\bm{B}_{42})$,2,0.01,0.005,0.0632,0.0101,-0.0014,0.0445,0.0404,0.0003,0.0418,0.0303,-0.0038,0.0301,0.1111
$\bm{Q}_1$,1,0.08,0.0064,0.012,0.0,0.0079,0.0105,0.0,0.0046,0.01,0.0,0.0051,0.0072,0.0
$\bm{Q}_1$,2,0.05,0.0022,0.0096,0.0,0.0037,0.0081,0.0,0.0022,0.0067,0.0,0.0026,0.0055,0.0
$\bm{Q}_2$,1,0.16,0.0309,0.072,0.0,0.0388,0.0615,0.0,0.0328,0.0639,0.0,0.0492,0.0705,0.0
$\bm{Q}_2$,2,0.12,0.0387,0.0662,0.0,0.0411,0.0565,0.0,0.0251,0.05,0.0,0.0242,0.0433,0.0
$P_2$,1,0.2,0.5067,0.5439,NA,0.459,0.4721,NA,0.4824,0.5175,NA,0.4593,0.4754,NA
