Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,-11.758917,16.040544,1.612135,-14.918702,-8.599132,,,SimulationMean,gamma1,gamma1
B11_1,0.007016,0.096576,0.009706,-0.012008,0.02604,,,SimulationMean,B11_1,B11_1
B11_2,0.017945,0.059682,0.005998,0.006189,0.029701,,,SimulationMean,B11_2,B11_2
B21_1,-0.083661,0.135284,0.013597,-0.110311,-0.057011,,,SimulationMean,B21_1,B21_1
B21_2,-0.081736,0.13065,0.013131,-0.107473,-0.055999,,,SimulationMean,B21_2,B21_2
B22_1,-0.270669,0.440307,0.044253,-0.357405,-0.183933,,,SimulationMean,B22_1,B22_1
B22_2,-0.127594,0.254729,0.025601,-0.177772,-0.077416,,,SimulationMean,B22_2,B22_2
B31d_1,0.706597,0.671053,0.067443,0.574409,0.838785,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.675238,0.719279,0.07229,0.53355,0.816926,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.7852,0.236943,0.023814,0.738525,0.831875,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.929897,0.148289,0.014904,0.900685,0.959109,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.023572,0.164288,0.016512,-0.008792,0.055936,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.085898,0.318753,0.032036,-0.148689,-0.023107,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.176534,0.19548,0.019647,0.138026,0.215042,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.018586,0.056306,0.005659,0.007494,0.029678,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.043639,0.01618,0.001626,0.040452,0.046826,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.042103,0.008556,0.00086,0.040417,0.043789,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.263513,0.01504,0.001512,0.260549,0.266477,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.24468,0.0142,0.001427,0.241883,0.247477,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.176698,0.00839,0.000843,0.175046,0.17835,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.618909,0.020255,0.002036,0.614918,0.6229,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.003304,1.008307,0.101339,0.80468,1.201928,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.898003,1.373862,0.138078,0.62737,1.168636,,,SimulationMean,R2d_2,R2d_2
gamma2,0.510935,4.756663,0.478063,-0.426068,1.447938,,,SimulationMean,gamma2,gamma2
B12_1,0.175688,0.176047,0.017693,0.14101,0.210366,,,SimulationMean,B12_1,B12_1
B12_2,0.122424,0.175942,0.017683,0.087765,0.157083,,,SimulationMean,B12_2,B12_2
gamma3_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_2,gamma4_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.049178,0.046293,0.004653,0.040058,0.058298,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.062842,0.041442,0.004165,0.054679,0.071005,,,SimulationMean,Q2d_2,Q2d_2
P2,0.662588,0.124476,0.01251,0.638068,0.687108,,,SimulationMean,P2,P2
