Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\bm{b}_{11}$,1,-0.05,0.0782,0.1089,0.6667,0.057,0.1117,0.798,0.0652,0.1047,0.6429,0.0495,0.1287,0.8125
$\bm{b}_{11}$,2,-0.06,0.0843,0.104,0.6768,0.0779,0.098,0.8485,0.0761,0.1028,0.7653,0.0691,0.1157,0.8854
$\bm{b}_{12}$,1,0.45,-0.2573,0.323,NA,-0.2743,0.3255,NA,-0.1814,0.4312,NA,-0.1767,0.3851,NA
$\bm{b}_{12}$,2,0.22,-0.0943,0.1871,NA,-0.0976,0.2004,NA,-0.1316,0.1589,NA,-0.1231,0.1888,NA
$\bm{b}_{21}$,1,-0.87,0.7902,0.8004,0.5354,0.7863,0.7978,0.8889,0.7627,0.7828,0.6224,0.7444,0.7622,0.9167
$\bm{b}_{21}$,2,-0.77,0.6853,0.7032,0.3333,0.6883,0.7004,0.7475,0.6957,0.7084,0.4694,0.6878,0.7013,0.8646
$\bm{b}_{22}$,1,-0.92,0.6479,0.7987,0.6465,0.6493,0.7833,0.8788,0.6509,0.8512,0.7857,0.6519,0.7269,0.8958
$\bm{b}_{22}$,2,-0.45,0.3294,0.3973,0.4646,0.3224,0.4101,0.6364,0.3433,0.4147,0.4694,0.371,0.3886,0.7292
$\mathrm{diag}(\bm{B}_{31})$,1,0.33,0.4592,0.6713,0.9394,0.3766,0.7665,0.949,0.3177,0.7852,0.8571,0.2309,0.8778,0.8495
$\mathrm{diag}(\bm{B}_{31})$,2,0.15,0.5154,0.8595,0.8687,0.5252,0.8877,0.949,0.5668,0.8846,0.8454,0.6406,1.058,0.8387
$\mathrm{diag}(\bm{B}_{32})$,1,0.31,0.4451,0.511,0.8081,0.4752,0.5305,0.899,0.3884,0.4814,0.8061,0.3953,0.4788,0.9062
$\mathrm{diag}(\bm{B}_{32})$,2,0.69,0.2376,0.2708,0.8889,0.2399,0.2816,0.9495,0.2444,0.2588,0.9184,0.2578,0.267,0.9583
$\mathrm{diag}(\bm{B}_{41})$,1,0.11,-0.0707,0.2161,0.303,-0.0864,0.1849,0.4388,-0.0679,0.2549,0.4694,-0.0318,0.3659,0.6559
$\mathrm{diag}(\bm{B}_{41})$,2,-0.3,0.2544,0.3645,0.1111,0.2141,0.3826,0.1735,0.2635,0.3456,0.1031,0.268,0.4077,0.2688
$\mathrm{diag}(\bm{B}_{42})$,1,0.57,-0.3939,0.4329,0.6869,-0.3935,0.4389,0.9091,-0.3796,0.4301,0.7551,-0.3687,0.4196,0.9062
$\mathrm{diag}(\bm{B}_{42})$,2,0.01,0.0,0.0521,0.0909,0.0086,0.0567,0.1515,-0.0049,0.0594,0.1939,-0.0054,0.0431,0.3438
$\bm{Q}_1$,1,0.08,-0.0384,0.0427,0.0,-0.0364,0.0398,0.0,-0.0428,0.0478,0.0102,-0.0373,0.0466,0.0417
$\bm{Q}_1$,2,0.05,-0.0078,0.0126,0.0,-0.0079,0.0116,0.0,-0.0187,0.0197,0.0,-0.0192,0.0201,0.0
$\bm{Q}_2$,1,0.16,-0.1178,0.1252,NA,-0.1108,0.12,NA,-0.0273,0.7627,NA,-0.0986,0.1486,NA
$\bm{Q}_2$,2,0.12,-0.0664,0.0739,NA,-0.0572,0.0705,NA,-0.0881,0.1055,NA,-0.0793,0.1115,NA
$P_2$,1,0.2,0.5207,0.5633,NA,0.4626,0.4789,NA,0.491,0.5285,NA,0.4532,0.4687,NA
