Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,-0.996974,11.073895,1.112968,-3.178391,1.184443,,,SimulationMean,gamma1,gamma1
B11_1,0.001577,0.067929,0.006827,-0.011804,0.014958,,,SimulationMean,B11_1,B11_1
B11_2,0.013207,0.039978,0.004018,0.005332,0.021082,,,SimulationMean,B11_2,B11_2
B21_1,-0.061068,0.13041,0.013107,-0.086758,-0.035378,,,SimulationMean,B21_1,B21_1
B21_2,-0.053067,0.117685,0.011828,-0.07625,-0.029884,,,SimulationMean,B21_2,B21_2
B22_1,-0.233087,0.502083,0.050461,-0.331991,-0.134183,,,SimulationMean,B22_1,B22_1
B22_2,-0.080386,0.35355,0.035533,-0.150031,-0.010741,,,SimulationMean,B22_2,B22_2
B31d_1,0.868856,0.349134,0.035089,0.800082,0.93763,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.865274,0.403739,0.040577,0.785743,0.944805,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.735721,0.26189,0.026321,0.684132,0.78731,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.894048,0.124067,0.012469,0.869609,0.918487,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.030769,0.075489,0.007587,0.015898,0.04564,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.002844,0.082986,0.00834,-0.01919,0.013502,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.170961,0.231819,0.023299,0.125295,0.216627,,,SimulationMean,B42d_1,B42d_1
B42d_2,-0.007323,0.146252,0.014699,-0.036133,0.021487,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.030322,0.014413,0.001449,0.027482,0.033162,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.02032,0.008148,0.000819,0.018715,0.021925,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.271463,0.016811,0.00169,0.268151,0.274775,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.251246,0.015959,0.001604,0.248102,0.25439,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.192958,0.010801,0.001086,0.190829,0.195087,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.638487,0.025748,0.002588,0.633415,0.643559,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.73432,2.805074,0.281921,1.181755,2.286885,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.894812,1.087671,0.109315,0.680555,1.109069,,,SimulationMean,R2d_2,R2d_2
gamma2,-0.916191,7.947161,0.79872,-2.481682,0.6493,,,SimulationMean,gamma2,gamma2
B12_1,0.219801,0.228239,0.022939,0.174841,0.264761,,,SimulationMean,B12_1,B12_1
B12_2,0.261182,0.271667,0.027304,0.207666,0.314698,,,SimulationMean,B12_2,B12_2
gamma3_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_2,gamma4_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.031723,0.022956,0.002307,0.027201,0.036245,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.035822,0.020543,0.002065,0.031775,0.039869,,,SimulationMean,Q2d_2,Q2d_2
P2,0.697162,0.178461,0.017936,0.662007,0.732317,,,SimulationMean,P2,P2
