Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,100,25,gamma1,3.5,-3.043337,14.260538,1.433238,-6.543337,-186.95,15.624469,0.284,0.7901,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,B11_1,-0.05,-0.00988,0.087214,0.008765,0.04012,80.24,0.095598,0.0404,0.6162,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,B11_2,-0.06,0.00706,0.050779,0.005103,0.06706,111.77,0.083961,0.0606,0.8788,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,B21_1,-0.87,-0.054692,0.112249,0.011281,0.815308,93.71,0.822922,0.0303,0.9596,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,B21_2,-0.77,-0.047564,0.110955,0.011151,0.722436,93.82,0.730821,0.0404,0.8485,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,B22_1,-0.92,-0.187053,0.308693,0.031025,0.732947,79.67,0.794695,0.1717,0.4343,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,B22_2,-0.45,-0.098803,0.242376,0.02436,0.351197,78.04,0.426019,0.2727,0.2222,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,B31d_1,0.33,0.889137,0.602671,0.060571,0.559137,169.44,0.819864,0.051,0.949,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,B31d_2,0.15,0.865782,0.563472,0.056631,0.715782,477.19,0.909196,0.0722,0.9381,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,B32d_1,0.31,0.774646,0.219238,0.022034,0.464646,149.89,0.513299,0.2828,0.7879,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
