Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\bm{b}_{11}$,1,-0.05,0.0516,0.085,0.3535,0.0401,0.0956,0.6162,0.0603,0.074,0.5051,0.0553,0.0925,0.7938
$\bm{b}_{11}$,2,-0.06,0.0732,0.0833,0.7576,0.0671,0.084,0.8788,0.0679,0.0891,0.7273,0.0677,0.0985,0.8351
$\bm{b}_{12}$,1,0.45,-0.2302,0.3234,NA,-0.2635,0.322,NA,-0.2264,0.306,NA,-0.2557,0.312,NA
$\bm{b}_{12}$,2,0.22,0.0412,0.2734,NA,0.0505,0.2849,NA,-0.0662,0.182,NA,-0.099,0.1738,NA
$\bm{b}_{21}$,1,-0.87,0.8089,0.8193,0.7071,0.8153,0.8229,0.9596,0.8022,0.8126,0.7677,0.7543,0.7707,0.9485
$\bm{b}_{21}$,2,-0.77,0.7169,0.7264,0.6263,0.7224,0.7308,0.8485,0.711,0.7198,0.5859,0.6433,0.6649,0.9175
$\bm{b}_{22}$,1,-0.92,0.6869,0.8493,0.2424,0.7329,0.7947,0.4343,0.7107,0.7833,0.4444,0.7069,0.7528,0.7835
$\bm{b}_{22}$,2,-0.45,0.3696,0.5102,0.1818,0.3512,0.426,0.2222,0.3894,0.4312,0.2626,0.3736,0.4018,0.5052
$\mathrm{diag}(\bm{B}_{31})$,1,0.33,0.5389,0.6411,0.9691,0.5591,0.8199,0.949,0.536,0.6705,0.9394,0.5021,0.79,0.8791
$\mathrm{diag}(\bm{B}_{31})$,2,0.15,0.7153,0.8204,0.9596,0.7158,0.9092,0.9381,0.6833,0.8347,0.9495,0.5275,0.898,0.9053
$\mathrm{diag}(\bm{B}_{32})$,1,0.31,0.4257,0.4991,0.7071,0.4646,0.5133,0.7879,0.4348,0.486,0.7576,0.4362,0.4835,0.9175
$\mathrm{diag}(\bm{B}_{32})$,2,0.69,0.204,0.2385,0.7677,0.2049,0.241,0.8788,0.2321,0.247,0.9091,0.249,0.2577,0.9691
$\mathrm{diag}(\bm{B}_{41})$,1,0.11,-0.0792,0.1092,0.3711,-0.0772,0.2263,0.6122,-0.0766,0.1626,0.4646,-0.071,0.1834,0.6593
$\mathrm{diag}(\bm{B}_{41})$,2,-0.3,0.2972,0.3084,0.2727,0.2607,0.2885,0.268,0.2788,0.3138,0.2626,0.2497,0.3512,0.3158
$\mathrm{diag}(\bm{B}_{42})$,1,0.57,-0.399,0.4609,0.2323,-0.4573,0.4857,0.4545,-0.4026,0.4485,0.5152,-0.4113,0.4503,0.8144
$\mathrm{diag}(\bm{B}_{42})$,2,0.01,-0.0173,0.1465,0.0808,0.005,0.0803,0.1313,-0.0039,0.0609,0.1515,-0.0015,0.0534,0.2887
$\bm{Q}_1$,1,0.08,-0.0497,0.0517,0.0,-0.0521,0.0529,0.0,-0.0492,0.0514,0.0,-0.0443,0.048,0.0103
$\bm{Q}_1$,2,0.05,-0.0297,0.0308,0.0,-0.0292,0.0296,0.0,-0.0286,0.0291,0.0,-0.0277,0.0281,0.0
$\bm{Q}_2$,1,0.16,-0.1283,0.1303,NA,-0.1289,0.1304,NA,-0.1308,0.1444,NA,-0.1209,0.1277,NA
$\bm{Q}_2$,2,0.12,-0.0842,0.0866,NA,-0.0808,0.083,NA,-0.0924,0.1061,NA,-0.0863,0.0902,NA
$P_2$,1,0.2,0.4972,0.5279,NA,0.4538,0.4664,NA,0.5106,0.5484,NA,0.4397,0.4516,NA
