Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,3.682588,0.259387,0.026069,3.631493,3.733683,,,SimulationMean,gamma1,gamma1
B11_1,-0.052369,0.07125,0.007161,-0.066405,-0.038333,,,SimulationMean,B11_1,B11_1
B11_2,-0.029211,0.065378,0.006571,-0.04209,-0.016332,,,SimulationMean,B11_2,B11_2
B21_1,-0.259161,0.089571,0.009002,-0.276805,-0.241517,,,SimulationMean,B21_1,B21_1
B21_2,-0.231024,0.082968,0.008339,-0.247368,-0.21468,,,SimulationMean,B21_2,B21_2
B22_1,-0.331139,0.117595,0.011819,-0.354304,-0.307974,,,SimulationMean,B22_1,B22_1
B22_2,-0.167241,0.077296,0.007769,-0.182468,-0.152014,,,SimulationMean,B22_2,B22_2
B31d_1,0.355552,0.076515,0.00769,0.34048,0.370624,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.209102,0.095247,0.009573,0.190339,0.227865,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.397258,0.110571,0.011113,0.375477,0.419039,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.690635,0.038084,0.003828,0.683132,0.698138,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.050648,0.066748,0.006708,0.0375,0.063796,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.07325,0.103664,0.010419,-0.093671,-0.052829,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.240242,0.116411,0.0117,0.21731,0.263174,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.010875,0.040938,0.004114,0.002812,0.018938,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.085027,0.008927,0.000897,0.083269,0.086785,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.052315,0.006351,0.000638,0.051065,0.053565,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.230565,0.009475,0.000952,0.228699,0.232431,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.210088,0.009972,0.001002,0.208124,0.212052,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.160481,0.007628,0.000767,0.158978,0.161984,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.609957,0.018655,0.001875,0.606282,0.613632,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.358694,2.317377,0.232905,0.9022,1.815188,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.986951,1.800885,0.180996,0.632199,1.341703,,,SimulationMean,R2d_2,R2d_2
Q2d_1,0.18998,0.056133,0.005642,0.178922,0.201038,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.14639,0.043911,0.004413,0.137741,0.155039,,,SimulationMean,Q2d_2,Q2d_2
gamma2,-0.07473,0.358916,0.036072,-0.145431,-0.004029,,,SimulationMean,gamma2,gamma2
B12_1,0.378547,0.096664,0.009715,0.359506,0.397588,,,SimulationMean,B12_1,B12_1
B12_2,0.250193,0.072493,0.007286,0.235912,0.264474,,,SimulationMean,B12_2,B12_2
gamma3_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_2,gamma4_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
P2,0.678809,0.174966,0.017585,0.644342,0.713276,,,SimulationMean,P2,P2
