Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,100,50,gamma1,3.5,3.725076,0.171672,0.017254,0.225076,6.43,0.282548,0.6667,1.0,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B11_1,-0.05,-0.046694,0.055845,0.005613,0.003306,6.61,0.055661,0.9697,0.101,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B11_2,-0.06,-0.026443,0.04156,0.004177,0.033557,55.93,0.053252,0.9293,0.0404,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B21_1,-0.87,-0.261952,0.074689,0.007507,0.608048,69.89,0.612572,0.0,0.8586,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B21_2,-0.77,-0.229676,0.06295,0.006327,0.540324,70.17,0.543942,0.0,0.9394,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B22_1,-0.92,-0.350284,0.087723,0.008816,0.569716,61.93,0.576363,0.0,0.9798,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B22_2,-0.45,-0.164128,0.059874,0.006018,0.285872,63.53,0.292013,0.0202,0.6061,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B31d_1,0.33,0.369632,0.064233,0.006456,0.039632,12.01,0.075199,0.7172,1.0,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B31d_2,0.15,0.232962,0.069311,0.006966,0.082962,55.31,0.10788,0.6364,0.9697,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B32d_1,0.31,0.41253,0.093966,0.009444,0.10253,33.07,0.138755,0.3535,1.0,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B32d_2,0.69,0.697096,0.023838,0.002396,0.007096,1.03,0.024756,0.9192,1.0,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B41d_1,0.11,0.070728,0.065106,0.006543,-0.039272,-35.7,0.075752,0.6162,0.4545,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B41d_2,-0.3,-0.072788,0.083626,0.008405,0.227212,75.74,0.241967,0.0404,0.4141,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B42d_1,0.57,0.263609,0.097764,0.009826,-0.306391,-53.75,0.321461,0.0202,0.9899,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B42d_2,0.01,0.007537,0.030656,0.003081,-0.002463,-24.63,0.0306,0.8687,0.1414,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,Q1d_1,0.08,0.08512,0.005381,0.000541,0.00512,6.4,0.007408,1.0,0.0101,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,Q1d_2,0.05,0.052591,0.004955,0.000498,0.002591,5.18,0.00557,1.0,0.0,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,R1d_1,0.23,0.231544,0.006718,0.000675,0.001544,0.67,0.00686,1.0,1.0,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,R1d_2,0.21,0.21134,0.007038,0.000707,0.00134,0.64,0.007129,1.0,1.0,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,R1d_3,0.16,0.160467,0.00544,0.000547,0.000467,0.29,0.005433,1.0,1.0,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,R1d_4,0.61,0.60937,0.01392,0.001399,-0.00063,-0.1,0.013864,1.0,1.0,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,R2d_1,0.82,1.024816,0.980032,0.098497,0.204816,24.98,0.996349,1.0,0.0,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,R2d_2,0.73,0.716308,0.277703,0.02791,-0.013692,-1.88,0.276636,1.0,0.0,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,Q2d_1,0.16,0.205152,0.050355,0.005061,0.045152,28.22,0.067444,1.0,0.0202,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,Q2d_2,0.12,0.14688,0.037281,0.003747,0.02688,22.4,0.045808,1.0,0.0,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,gamma2,-1.17,-0.116772,0.222444,0.022356,1.053228,90.02,1.07623,0.0101,0.0909,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B12_1,0.45,0.376907,0.084407,0.008483,-0.073093,-16.24,0.111333,,,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,B12_2,0.22,0.251165,0.05016,0.005041,0.031165,14.17,0.058838,,,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,gamma3_1,0.26,0.0,0.0,0.0,-0.26,-100.0,0.26,,,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,gamma3_2,-0.83,0.0,0.0,0.0,0.83,100.0,0.83,,,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,gamma4_1,-0.74,0.0,0.0,0.0,0.74,100.0,0.74,,,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,gamma4_2,-0.19,0.0,0.0,0.0,0.19,100.0,0.19,,,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,P2,0.2,0.656265,0.122006,0.012262,0.456265,228.13,0.472136,,,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,LogLikelihood,,-3.6475,0.023,,,,,,,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,ConvergenceRate,,0.99,,,,,,,,100,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
